,neighborhood,sale_price_sqr_foot,housing_units,gross_rent,Lat,Lon
0,Alamo Square,366.02071153227644,378401.0,2817.285714285714,37.791012,-122.4021
1,Anza Vista,373.382197826477,379050.0,3031.8333333333335,37.779598,-122.443451
2,Bayview,204.58862288246596,376454.0,2318.4,37.73467,-122.40106
3,Bayview Heights,590.7928388746803,382295.0,3739.0,37.72874,-122.41098
4,Buena Vista Park,452.6805909308441,378076.5,2698.8333333333335,37.76816,-122.43933
5,Central Richmond,394.42239878005887,378401.0,2817.285714285714,37.77789,-122.44517
6,Central Sunset,423.68792770158234,378401.0,2817.285714285714,37.74961,-122.48999
7,Clarendon Heights,487.2448860262576,376454.0,2250.5,37.75331,-122.44703
8,Corona Heights,587.5390673661739,377232.8,2472.0,37.78553,-122.456
9,Cow Hollow,665.9640415783227,378401.0,2817.285714285714,37.79298,-122.43579
10,Croker Amazon,303.0041844084943,378076.5,2698.8333333333335,37.7228,-122.43869
11,Diamond Heights,434.9917394452212,375480.5,2016.0,37.72863,-122.44305
12,Duboce Triangle,502.59915555623616,378401.0,2780.25,37.76964,-122.42611
13,Eureka Valley/Dolores Heights,642.2486706357391,378401.0,2817.285714285714,37.75554,-122.43779
14,Excelsior,388.7659270023075,379050.0,3031.8333333333335,37.72874,-122.41098
15,Financial District North,391.36253308010487,378401.0,2817.285714285714,37.79101,-122.4021
16,Financial District South,455.83621223779153,377232.8,2472.0,37.79101,-122.4021
17,Forest Knolls,321.84083657398736,374507.0,1781.5,37.75706,-122.45509
18,Glen Park,623.8261775374349,378725.5,2899.5,37.72863,-122.44305
19,Golden Gate Heights,639.3935574881156,377622.2,2601.4,37.757912,-122.46402
20,Haight Ashbury,449.5447622856192,378401.0,2817.285714285714,37.76525,-122.43596
21,Hayes Valley,355.93282794805776,378401.0,2817.285714285714,37.76525,-122.43596
22,Hunters Point,170.62491987132685,377427.5,2489.0,37.72551,-122.37178
23,Ingleside Heights,384.7979281346047,379374.5,2960.0,37.72116,-122.48707
24,Inner Mission,397.67371473613446,378401.0,2817.285714285714,37.75416,-122.41947
25,Inner Parkside,519.3856038526768,379861.25,3224.0,37.74961,-122.48999
26,Inner Richmond,378.5943139613646,378401.0,2817.285714285714,37.769112,-122.483566
27,Inner Sunset,413.66751546215943,378401.0,2817.285714285714,37.74961,-122.48997
28,Jordan Park/Laurel Heights,529.3841850673389,378401.0,2817.285714285714,37.78553,-122.456
29,Lake --The Presidio,409.95435219297514,377427.5,2555.1666666666665,37.80152,-122.45457
30,Lone Mountain,478.2285530213679,377427.5,2555.1666666666665,37.7789,-122.45496
31,Lower Pacific Heights,539.237968878326,378401.0,2817.285714285714,37.79298,-122.43579
32,Marina,583.7492694814548,378401.0,2817.285714285714,37.79972,-122.46689
33,Merced Heights,788.8448175872469,380348.0,3414.0,37.71993,-122.46595
34,Midtown Terrace,550.5103482917151,377427.5,2647.5,37.75331,-122.44703
35,Miraloma Park,779.810842264425,375967.25,2155.25,37.73415,-122.457
